"wiI7pd"
"جامعة جنوب الوادي جامعة ومؤسسة بحثية موجهة لخدمة الطلاب ومتعارف عليها إقليمياً مقرها مدينة قنا في مصر.تغطى جامعه جنوب الوادى مساحه كبيرة في صعيد مصر شملت محافظتي قنا والبحر الاحمر (الغردقه) ويقع الحرم الرئيسي في مدينه قنا التي تقع على بعد 600 كيلو متر جنوب القاهرة، وتشمل الجامعة عشرين كلية ومعهدين، في حين بدأت الدراسة في جامعة جنوب الوادي، فرع من جامعة أسيوط سابقا، في أكتوبر 1970 . وتم فصل جامعة جنوب الوادي من جامعة أسيوط في 2 يناير 1995 بالقرار الجمهوري رقم 23
تلتزم الجامعة بتقديم دور الأكبر للخدمة الاجتماعية في منطقة صعيد مصر، فالجامعة تعد مؤسسة بحثيه موجهه للطلاب ومتعارف عليها اقليميا وبها 55872 طالب في العام الدراسي 2020-2021 ، وتجذب الجامعة طلاب من جميع المحافظات بمصر والدول الأخرى، و 1786عضو هيئة تدريس ومعاون, و عدد 4057 موظف قد تم تدريبهم في أفضل المؤسسات وجلبوا للجامعة الأفاق العالمية التي تثرى البيئة التعليمية

تم إنشاء مستشفيات جامعة جنوب الوادي لتقديم الخدمات التعليمية والصحية لأبناء جنوب الصعيد في محافظات قنا والأقصر والبحر األحمر وأسوان"
"بصراحه الجز ف قنا صعب ف يا ريت يعملو شمسيات ف كل مكان ف الجامعه ف الطرق بتعتها يعنى مظلات ع يمين وشمال الطرق وبرضو يسيبو اماكن مفيهاش المظلات دى بحيث يعدى النور للعربيات ومنحتاجوش نعملو اضاءه ، ف نفس الوقت ممكن المظلات دى تبقى الواح طاقه شمسيه وبكده الجامعه كلها الطرق بتعتها هتكفيها من الكهربا ، ... بس بامانه الجامعه محترمه جدا جدا والدكاتره لطاف جدا تبارك الرحمن عليهم ربنا يباركلهم ❤❤"
"جامعة جنوب الوادي تعتبر من أكبر الجامعات في مصر من حيث المساحة بها حوالي خمس بوابات للدخول والخروج توجد بها كليات عديده ومنها كليه الزراعه والطب البيطري وكليه الحقوق والتجارة والتربيه والآداب والعلوم والحاسبات والمعلومات وكلية الصيدله وكليه التربيه الرياضيه والنوعية وكلية الطب البشري كما توجد بها العديد من الملاعب وتوجد مستشفى للطلاب ومستشفي الجامعه ومستشفي مرزوق"
"جامعة حكومية تأسست عام ١٩٩٦ بعد إنفصالها عن جامعة أسيوط. تم فصل فروعها في سوهاج و الأقصر و أسوان عن كيانها لتصبح منحصرة فقط في نطاق محافظة قنا و فرع الغردقة. تحتوي على كليات الطب و الهندسة و الصيدلة و الزراعة و الحقوق و التربية و التربية النوعية و الحاسبات والمعلومات و طب بيطري و غيرها من الكليات المعتمدة."
"مجمع علمي وثقافي وهام للأنشطة الطلابية والجامعية وتمثل منارة للعلم لمناطق جنوب الصعيد المصري ،،"
"جامعة عريقة تضم جميع التخصصات العلمية والادبية وتتيح فرصة التعليم ما بعد الجامعي"
"مش احسن جامعه
مهتمين ب كليات علي عكس كليات تانيه منسيه"
"جامعة جنوب الوادي ، هي إحدى جامعات مصر ، ويقع المقر الرئيسي لها في مدينة قنا في صعيد مصر. أسست الجامعة في يناير 1995.
وتعتبر جامعة جنوب الوادي مؤسسة بحثية موجهة لخدمة الطلاب ومتعارف عليها إقليميا ، وبها 42000 طالب حسب العام الأكاديمي 2007/2008 م وتحرص جامعة جنوب الوادي على تعليم عالي الجودة وزيادة أقسام تعليمها وتبنى أنشطة بحثية متميزة وتجذب الجامعة طلاب من جميع المحافظات بمصر والدول الأخرى ، وأكثر من 2000 عضو هيئة تدريس قد تم تدريبهم في أفضل المؤسسات عالميا وجلبوا للجامعة الأفاق العالمية التي تثري البيئة التعليمية."
"افضل مكان ممكن تدخله في حياتك حرفيان من حيث الجمال والنظام والامن وكل حاجه"
"اوسخ جامعة في مصر ... الدكتور بالسلطة مش بالعلم ولا عندهم اساسا علوم حديثة فعاله لارض الواقع ولا يسمحلك انك تاخد مساحتك او انك تسأل في المحاضره  والامن شوية بهايم وطلقينهم في الحوش وكوسه فشخ من جزورها لحد القبه الرأسماليه ... اللي بترحب بشوية الخليجيه خسارة فيها ظفر نجمه ... واللي اتخرج منها هيقول اكتر من كدا وحسبي الله ونعم الوكيل وربنا يصلح حالهم وحالنا"
